smiles,node_id,num_expansions,rollout_num,score,Q_value,num_reactions,reaction_1_id,building_block_1_1_id,building_block_1_1_smiles,building_block_1_2_id,building_block_1_2_smiles,building_block_1_3_id,building_block_1_3_smiles
CC1(CS(C)(=O)=O)CCN(C(=O)C2(C(C)(F)F)CC2)C1,108994,1,7887,0.7092427738927739,0.7092427738927739,1,22,33952736,CC1(CS(C)(=O)=O)CCNC1,21606259,CC(F)(F)C1(C(=O)O)CC1,,
C=CCN(NC(=O)C1(C)Cc2cc(OC)c(OC)cc2C1)C(=O)OC(C)(C)C,127606,1,16292,0.7092418870345341,0.7092418870345341,1,22,3082744,C=CCN(N)C(=O)OC(C)(C)C,27208123,COc1cc2c(cc1OC)CC(C)(C(=O)O)C2,,
C#CCOC(C)C(=O)OCCNC(=O)C1CCCC1,113737,1,10041,0.7092216061716062,0.7092216061716062,1,1458,8763323,C#CCOC(C)C(=O)O,7960021,O=C(NCCCl)C1CCCC1,,
Cc1ccc2oc(CNC(=O)NCC3(CO)CC3(C)C)cc2c1,94190,1,1220,0.7092170961249605,0.7092170961249605,1,2708,2811089,Cc1ccc2oc(CN)cc2c1,5778598,CC1(C)CC1(CN)CO,,
CCOC1(CNC(=O)C(=O)NCC2(OCC)CN(C(=O)OC(C)(C)C)C2)CCC1,134485,1,19396,0.7091940370602909,0.7091940370602909,1,271948,22988689,CCOC1(CN)CCC1,34422167,CCOC1(CN)CN(C(=O)OC(C)(C)C)C1,,
Cc1c(C(C)NC(=O)C(=O)NC(C)c2cnn(C)c2C)cnn1C,94597,0,1399,0.7091760651629071,0.0,1,271948,417410,Cc1c(C(C)N)cnn1C,417410,Cc1c(C(C)N)cnn1C,,
CCC(C)CNC(=O)NS(=O)(=O)CC1CCNC1,100400,0,3990,0.709175587810882,0.0,1,2708,3273471,CCC(C)CN,24623726,NS(=O)(=O)CC1CCNC1,,
CC(C)(C)OC(=O)NC(CC#N)C(=O)NC(=O)[C@@H](N)CO,105295,1,6204,0.7091671495171494,0.7091671495171494,1,22,2787269,NC(=O)[C@@H](N)CO,7610792,CC(C)(C)OC(=O)NC(CC#N)C(=O)O,,
CC(C)(C)OC(=O)N[C@H]1C[C@@H](OC(C)(C)C)[C@@H]1CC(=O)NC1(C(F)(F)F)CCN(C(=O)OC(C)(C)C)CC1,118957,1,12384,0.709158288933289,0.709158288933289,1,22,3694808,CC(C)(C)OC(=O)N1CCC(N)(C(F)(F)F)CC1,26562015,CC(C)(C)OC(=O)N[C@H]1C[C@@H](OC(C)(C)C)[C@@H]1CC(=O)O,,
CCC1CCC2(CC1)CCN2C(=O)Cc1cnn(C)c1C,104784,1,5970,0.7091559120617944,0.7091559120617944,1,22,9939114,CCC1CCC2(CCN2)CC1,10566118,Cc1c(CC(=O)O)cnn1C,,
CCN(CC)C(=O)COC(=O)c1cc(OC)c2nn(C)cc2c1,106577,1,6782,0.7091468733230545,0.7091468733230545,1,1458,26621441,COc1cc(C(=O)O)cc2cn(C)nc12,2797772,CCN(CC)C(=O)CBr,,
CC1(CS(=O)(=O)N[C@H]2CC[C@@H](O)CN(C(=O)OC(C)(C)C)C2)CCCC1,107673,1,7285,0.709142241092241,0.709142241092241,1,40,26297739,CC(C)(C)OC(=O)N1C[C@@H](N)CC[C@@H](O)C1,15287876,CC1(CS(=O)(=O)Cl)CCCC1,,
C=C(CCBr)N1CCCc2cc(C(C)C)ccc21,102632,0,4996,0.70913271826213,0.0,1,2230,119445,CC(C)c1ccc2c(c1)CCCN2,4969961,C=C(Br)CCBr,,
CCCN1CC(NC(=O)CCCCCCSC)C1,95976,1,2015,0.7091309079809079,0.7091309079809079,1,22,34084800,CCCN1CC(N)C1,3734951,CSCCCCCCC(=O)O,,
CCc1cn[nH]c1CNC(=O)NCC1(CNC(=O)OC(C)(C)C)CCOCC1,122962,1,14208,0.7091294329853153,0.7091294329853153,1,2708,18776762,CC(C)(C)OC(=O)NCC1(CN)CCOCC1,26047388,CCc1cn[nH]c1CN,,
Cc1ccc(N2CCN(CCC(C)(C)C(=O)OC(C)(C)C)CC2)cc1,130050,1,17394,0.7091268918563675,0.7091268918563675,1,2230,71671,Cc1ccc(N2CCNCC2)cc1,27217475,CC(C)(C)OC(=O)C(C)(C)CCCl,,
CC(C)(C)OC(=O)N1Cc2ccc(CNC(=O)NC3CCCNCC3)cc2C1,119606,0,12671,0.7091260073260073,0.0,1,2230,26377558,NC(=O)NC1CCCNCC1,5181645,CC(C)(C)OC(=O)N1Cc2ccc(CBr)cc2C1,,
CCOC(=O)C1=C(C)NC(=O)NC1COC(=O)CCCC(C)(C)C(=O)OC(C)(C)C,115235,1,10715,0.7091253996003997,0.7091253996003997,1,1458,27327312,CC(C)(C)OC(=O)C(C)(C)CCCC(=O)O,2808104,CCOC(=O)C1=C(C)NC(=O)NC1CCl,,
CCOC(C)c1noc(CCC(=O)NCC2(C)CC=CCO2)n1,100896,1,4208,0.7091218322664609,0.7091218322664609,1,22,27220626,CC1(CN)CC=CCO1,3896360,CCOC(C)c1noc(CCC(=O)O)n1,,
COC(=O)C1CCN(C(=O)CN(C)C(=O)OC(C)(C)C)C(C(=O)OC)C1,124490,1,14892,0.7091202075702076,0.7091202075702076,1,22,9983801,COC(=O)C1CCNC(C(=O)OC)C1,63381,CN(CC(=O)O)C(=O)OC(C)(C)C,,
CCCCCCNC(=O)NCc1ccnc(C(F)(F)F)c1,105132,1,6130,0.7091106070073716,0.7091106070073716,1,2708,1054,CCCCCCN,3061527,NCc1ccnc(C(F)(F)F)c1,,
CSC1(CNC(=O)NCC(O)Cc2ccc(Cl)cc2)CCN(C)CC1,131762,1,18171,0.7091057720057721,0.7091057720057721,1,2708,10538186,CSC1(CN)CCN(C)CC1,26628972,NCC(O)Cc1ccc(Cl)cc1,,
COc1ccc(C(O)CNC(=O)NCC2CC(C)(C)OC(C)(C)C2)cc1OC,115482,1,10828,0.7090980974410641,0.7090980974410641,1,2708,13739316,CC1(C)CC(CN)CC(C)(C)O1,130868,COc1ccc(C(O)CN)cc1OC,,
CCC(NC(=O)N[C@H]1C[C@H](F)CN(C(=O)OC(C)(C)C)C1)C(C)(C)O,131558,1,18077,0.7090968753468754,0.7090968753468754,1,2708,22802453,CC(C)(C)OC(=O)N1C[C@@H](N)C[C@H](F)C1,3864736,CCC(N)C(C)(C)O,,
